epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0553,0.89286,1.07329,0.93137,0.9118,0.80517,0.8531,0.68085,0.74461,0.73102,0.87041,0.000662698,0.000662698,0.000662698
2,65.859,0.83648,0.7011,0.91893,0.91344,0.80974,0.8652,0.68271,0.74624,0.60054,0.87348,0.00130304,0.00130304,0.00130304
3,96.2614,0.82789,0.66273,0.91578,0.89916,0.82314,0.8641,0.69215,0.73736,0.5554,0.85981,0.00191699,0.00191699,0.00191699
4,126.679,0.819,0.63389,0.91301,0.89345,0.81759,0.85647,0.6811,0.74717,0.56575,0.86438,0.0018812,0.0018812,0.0018812
5,156.98,0.80578,0.60477,0.90681,0.92338,0.82345,0.86828,0.7015,0.7002,0.49277,0.85306,0.0018416,0.0018416,0.0018416
6,187.844,0.78516,0.58126,0.90236,0.9105,0.81595,0.86322,0.68427,0.73715,0.51208,0.8656,0.001802,0.001802,0.001802
7,218.412,0.77892,0.57939,0.90476,0.92036,0.81603,0.86979,0.70049,0.70024,0.49142,0.85776,0.0017624,0.0017624,0.0017624
8,249.017,0.77008,0.5663,0.90201,0.91601,0.82716,0.86512,0.70562,0.67742,0.47032,0.84955,0.0017228,0.0017228,0.0017228
9,279.735,0.75979,0.56266,0.89728,0.92333,0.8202,0.87514,0.70081,0.68715,0.49403,0.85517,0.0016832,0.0016832,0.0016832
10,310.04,0.75085,0.55032,0.89256,0.92101,0.8195,0.86993,0.71145,0.6811,0.47033,0.84923,0.0016436,0.0016436,0.0016436
11,340.273,0.75441,0.55357,0.89564,0.92307,0.82576,0.87271,0.70947,0.67112,0.45991,0.84816,0.001604,0.001604,0.001604
12,370.488,0.7391,0.54214,0.89318,0.9171,0.83901,0.87652,0.7208,0.65634,0.43962,0.84346,0.0015644,0.0015644,0.0015644
13,401.18,0.73105,0.53086,0.88749,0.91955,0.82948,0.87222,0.71074,0.66976,0.46646,0.84819,0.0015248,0.0015248,0.0015248
14,431.551,0.73734,0.5308,0.89057,0.91892,0.82314,0.8751,0.71757,0.65519,0.4531,0.84673,0.0014852,0.0014852,0.0014852
15,461.735,0.72912,0.52924,0.88955,0.92328,0.8202,0.87677,0.71136,0.67755,0.44768,0.85178,0.0014456,0.0014456,0.0014456
16,491.953,0.7142,0.51678,0.88581,0.93505,0.82118,0.87358,0.71578,0.65652,0.44584,0.84502,0.001406,0.001406,0.001406
17,522.363,0.72739,0.52196,0.88704,0.92951,0.82335,0.88447,0.71918,0.65349,0.43951,0.84321,0.0013664,0.0013664,0.0013664
18,552.853,0.71279,0.50599,0.88348,0.92392,0.82641,0.87288,0.72125,0.65071,0.43239,0.83918,0.0013268,0.0013268,0.0013268
19,583.327,0.70653,0.49819,0.8786,0.91967,0.8309,0.88255,0.72413,0.65914,0.44935,0.84587,0.0012872,0.0012872,0.0012872
20,613.842,0.71215,0.50711,0.88436,0.93292,0.82288,0.87827,0.72081,0.64099,0.43067,0.84053,0.0012476,0.0012476,0.0012476
21,644.244,0.69578,0.4937,0.87482,0.91494,0.82634,0.87632,0.71913,0.66028,0.43518,0.84088,0.001208,0.001208,0.001208
22,674.507,0.70381,0.49466,0.87685,0.93056,0.82314,0.88475,0.73078,0.64003,0.42412,0.84012,0.0011684,0.0011684,0.0011684
23,704.823,0.69303,0.48824,0.87506,0.91626,0.83697,0.87805,0.72434,0.63959,0.42064,0.83902,0.0011288,0.0011288,0.0011288
24,734.777,0.69181,0.48696,0.8764,0.92064,0.82576,0.86908,0.71906,0.63963,0.43935,0.83808,0.0010892,0.0010892,0.0010892
25,764.839,0.6835,0.48262,0.87255,0.92901,0.83361,0.882,0.73004,0.63533,0.41806,0.83906,0.0010496,0.0010496,0.0010496
26,795.019,0.69061,0.49336,0.87658,0.93112,0.82903,0.88377,0.72989,0.63291,0.41566,0.83978,0.00101,0.00101,0.00101
27,825.193,0.68046,0.47682,0.87095,0.93081,0.82478,0.88367,0.7311,0.62462,0.40578,0.83367,0.0009704,0.0009704,0.0009704
28,855.652,0.67587,0.47236,0.87115,0.92256,0.83459,0.88325,0.73119,0.63299,0.42896,0.8387,0.0009308,0.0009308,0.0009308
29,886.295,0.67986,0.47449,0.87152,0.93304,0.82454,0.8813,0.73555,0.62455,0.41055,0.83402,0.0008912,0.0008912,0.0008912
30,916.457,0.66153,0.46104,0.86523,0.93951,0.81138,0.88526,0.73579,0.62457,0.42477,0.83593,0.0008516,0.0008516,0.0008516
31,946.831,0.66945,0.46917,0.86801,0.92637,0.83077,0.88459,0.73671,0.62367,0.40224,0.83244,0.000812,0.000812,0.000812
32,977.249,0.66381,0.46271,0.86795,0.92134,0.83491,0.88821,0.73971,0.62287,0.39589,0.83426,0.0007724,0.0007724,0.0007724
33,1007.67,0.65242,0.45553,0.86647,0.92934,0.8298,0.88649,0.74026,0.61509,0.39804,0.83409,0.0007328,0.0007328,0.0007328
34,1038.41,0.65585,0.45273,0.86422,0.92892,0.8288,0.88712,0.73967,0.61684,0.3966,0.83329,0.0006932,0.0006932,0.0006932
35,1069.11,0.65622,0.45945,0.86616,0.92972,0.82838,0.88857,0.74106,0.60921,0.39432,0.83171,0.0006536,0.0006536,0.0006536
36,1099.77,0.65134,0.45542,0.8663,0.93147,0.83096,0.88333,0.739,0.61679,0.40813,0.83221,0.000614,0.000614,0.000614
37,1130.05,0.65031,0.44653,0.86291,0.93162,0.83328,0.88874,0.74143,0.61474,0.38651,0.83191,0.0005744,0.0005744,0.0005744
38,1160.42,0.64415,0.44376,0.86048,0.93412,0.82936,0.88465,0.73718,0.61238,0.39189,0.83103,0.0005348,0.0005348,0.0005348
39,1190.74,0.63366,0.43733,0.86013,0.92688,0.83655,0.88557,0.74122,0.6089,0.39164,0.83046,0.0004952,0.0004952,0.0004952
40,1221.11,0.642,0.43669,0.86114,0.92691,0.83329,0.88732,0.74417,0.60989,0.39493,0.83173,0.0004556,0.0004556,0.0004556
41,1251.84,0.62518,0.40057,0.84902,0.94032,0.82772,0.8894,0.74345,0.60732,0.38822,0.83063,0.000416,0.000416,0.000416
42,1281.25,0.61561,0.39085,0.84729,0.93432,0.83949,0.8815,0.74225,0.59923,0.38508,0.82791,0.0003764,0.0003764,0.0003764
43,1310.45,0.6097,0.38292,0.84307,0.93912,0.83164,0.88404,0.74479,0.59782,0.38574,0.8271,0.0003368,0.0003368,0.0003368
44,1340.01,0.60446,0.37922,0.84025,0.94014,0.83178,0.88545,0.74412,0.60247,0.38593,0.82838,0.0002972,0.0002972,0.0002972
45,1369.58,0.5997,0.37277,0.84114,0.92824,0.84154,0.88667,0.74755,0.59764,0.37801,0.82764,0.0002576,0.0002576,0.0002576
46,1398.91,0.59634,0.36956,0.83919,0.94046,0.83139,0.88209,0.74456,0.59642,0.38856,0.82687,0.000218,0.000218,0.000218
47,1428.2,0.58948,0.3657,0.83788,0.93491,0.8408,0.8834,0.74489,0.5957,0.38369,0.8269,0.0001784,0.0001784,0.0001784
48,1457.44,0.58632,0.35995,0.83676,0.93707,0.83244,0.88377,0.74639,0.59407,0.3782,0.82647,0.0001388,0.0001388,0.0001388
49,1486.89,0.58148,0.35503,0.8359,0.92895,0.84632,0.88487,0.74748,0.58955,0.37573,0.82557,9.92e-05,9.92e-05,9.92e-05
50,1516.22,0.57527,0.34779,0.83446,0.93127,0.84164,0.88392,0.74733,0.58636,0.37599,0.82491,5.96e-05,5.96e-05,5.96e-05
